seqID,DBLa0.1,DBLa0.10,DBLa0.11,DBLa0.12,DBLa0.13,DBLa0.14,DBLa0.15,DBLa0.16,DBLa0.17,DBLa0.18,DBLa0.19,DBLa0.2,DBLa0.20,DBLa0.21,DBLa0.22,DBLa0.23,DBLa0.24,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.8,DBLa0.9,DBLa1.1,DBLa1.2,DBLa1.3,DBLa1.4,DBLa1.5,DBLa1.6,DBLa1.7,DBLa1.8,DBLa2
PFCLINvar48,-260.5755687715488,0,-259.0809890403818,-249.98358125083143,-275.19403602695087,-270.69242948345226,-249.6465653671021,-271.19037645625156,-272.9017011044221,-260.8474071194353,-258.1396669162919,-283.70345040058584,-268.9607525277628,-263.9903234734698,-253.41197858990148,-282.2938240455281,-288.4797828843387,-285.19281484232147,-254.05400607088131,-259.0468696223537,-273.83110413843605,0,-263.7018564511573,-249.1258780900121,0,0,0,0,0,0,0,0,0
PFCLINvar49,-260.5044970636344,0,-265.54774122249694,-262.316017890877,-289.22531783673037,-281.00928282548375,-263.0880737106201,-275.24970766751886,-268.249012803004,-250.91273594624298,-258.3881522138524,-283.69040222328726,-269.9303007996216,-257.99029226500414,-258.40134925081213,-275.7335968824945,-279.5512113977372,-263.5851583476536,-251.79503651289465,-267.4588444549712,-271.09473297997926,0,-248.93742722505743,-249.9093347815063,0,0,0,0,0,0,0,0,0
PFCLINvar52,-243.78968766464115,0,-247.8861416453296,-232.41931118887342,-282.1422611425192,-269.4759286354398,-230.12423152950598,-254.30843235530514,-251.5525613518755,-227.06776338672586,-237.92868139347613,-264.8638571178008,-243.21920998130813,-232.66261595722142,-244.10883360353566,-249.0849114841309,-267.33177802316544,-276.4784518920322,-225.52311178857582,-243.77413312248305,-248.9122250960174,0,-232.60652933012332,-232.08719947575375,0,0,0,0,0,0,0,0,0
PFCLINvar53,-259.36348044350126,0,-263.8547154336442,-241.77634734490653,-284.27096281527076,-272.14044158244934,-246.47603017666478,-279.09348396213755,-272.5677448877322,-252.99367542124997,-255.23087386692256,-293.20534476150215,-259.2471433930578,-259.3032376782285,-260.70189792548103,-282.3113033825205,-291.56595332147066,-274.50277969596794,-256.6447572087761,-258.67669396843087,-282.2671794744669,0,-262.62389315576405,-250.11206298346954,0,0,0,0,0,0,0,0,0
PFCLINvar54,-250.34561355811337,0,-254.60334389004018,-291.9072802346893,-285.9900846301895,-247.9008397786322,-257.8743461423001,-285.51505846579926,-266.0991890628499,-289.10360984771495,-264.1686985229967,-281.7248464547055,-267.2121270840937,-302.0861136179202,-268.27275809089275,-309.20250127554596,-269.53180875109297,-318.7561854061207,-286.2568938371749,-251.86910588924306,-307.6147453131892,0,-281.45527457970286,-283.7432652991376,0,0,0,0,0,0,0,0,0
PFCLINvar55,-260.6091168903184,0,-253.91775104151608,-297.12743206025795,-284.13916052362725,-265.0103615226116,-262.6036616269853,-276.7976839960343,-276.8847046107863,-292.2838239148993,-276.6260603899843,-265.0390976811032,-276.5431210254258,-311.27704852454843,-268.6469099307122,-311.67478244222394,-291.0911857824639,-320.8684390116037,-291.38409966703733,-252.43183786999307,-309.60638966659246,0,-285.8710427738179,-282.3392362692475,0,0,0,0,0,0,0,0,0
PFCLINvar56,-241.26533080796816,0,-257.96527860246147,-276.718275972342,-295.15958959555223,-256.69759174137516,-251.24950886224093,-270.2246226565549,-255.8797112487017,-283.04723697017494,-268.00313435544217,-283.1422464009702,-256.7324742225844,-298.3771933442024,-273.5208388858817,-294.1800613273664,-258.49209840927097,-312.73153559616804,-280.29605542650376,-249.6736753608221,-304.57743752703004,0,-276.89120424386726,-278.444999402637,0,0,0,0,0,0,0,0,0
PFCLINvar57,-286.6123851188019,0,-285.3752676057306,-281.52384831824014,-304.8881372798471,-299.85194967247634,-285.6441131750081,-319.52639831552926,-293.87568821553566,-299.16111438267836,-291.48947664205275,-318.72178990856963,-303.78643034334317,-321.225325909136,-285.03913540848845,-318.1008970975315,-313.23171943323,-328.2650534441055,-301.88159350387514,-277.1711146838691,-314.55506494983007,0,-278.8659280343951,-283.16291806106676,0,0,0,0,0,0,0,0,0
PFCLINvar58,-244.9275934737226,0,-255.69018393364516,-229.94782342855996,-280.33274773149486,-273.24658125683806,-238.0522613366702,-268.2526409449832,-259.5181559633096,-233.76710846628757,-245.0057497353819,-273.76185579997446,-248.7894589980918,-236.15287683922506,-245.9482799159345,-260.9837066305804,-277.2757829405362,-289.59105909522094,-232.7196689698935,-253.97675786255613,-249.99781351997842,0,-233.2746344739443,-231.15131188314845,0,0,0,0,0,0,0,0,0
PFCLINvar60,-253.28835223761706,0,-260.05862699214856,-239.44169036503664,-284.8004541223975,-274.71895763329076,-243.9845768137472,-270.52609040835233,-258.70254045381165,-225.21399240647207,-251.26625383327027,-279.80372962353465,-251.527038816122,-173.25007640379795,-259.80259945938343,-250.1800824931942,-274.95686646531414,-263.05461113468255,-232.26332353416717,-260.6429135790653,-254.19414889564064,0,-243.15100423582876,-235.67678670770096,0,0,0,0,0,0,0,0,0
